,ni,nj,nk,disruption,name,confidence
mn0000859830,4.0,0.0,89.0,0.043010752688172046,Thiago de Mello,0.7931
mn0000482715,1.0,0.0,41.0,0.023809523809523808,Orestes Vilató,0.5834
mn0000577627,83.0,238.0,2764.0,-0.050243111831442464,The Who,1.0
mn0000569402,8.0,8.0,1792.0,0.0,The Teardrop Explodes,0.5091
mn0000896216,2.0,1.0,1199.0,0.0008319467554076539,Band of Horses,0.5858
mn0002482004,3.0,0.0,34.0,0.08108108108108109,Gauntlet Hair,0.7332
mn0000674887,17.0,14.0,2256.0,0.0013117621337997377,Daryl Hall & John Oates,0.6592
mn0000219483,47.0,73.0,2804.0,-0.008891928864569083,Dinosaur Jr.,0.9862
mn0000527267,18.0,30.0,3206.0,-0.0036877688998156115,Built to Spill,0.9245
mn0000987491,68.0,80.0,3041.0,-0.0037629350893697085,Gram Parsons,0.824
mn0000924232,121.0,15.0,428.0,0.1879432624113475,Sun Ra,1.0
mn0000836312,7.0,2.0,261.0,0.018518518518518517,Junior Murvin,0.8288
mn0000821571,54.0,46.0,630.0,0.010958904109589041,Smokey Robinson,0.7656
mn0000218885,9.0,2.0,76.0,0.08045977011494253,Horace Andy,0.896
mn0000144458,86.0,48.0,713.0,0.0448642266824085,Curtis Mayfield,0.999
mn0000091650,102.0,136.0,1954.0,-0.01551094890510949,Black Flag,0.98
mn0000269172,7.0,1.0,103.0,0.05405405405405406,Lester Flatt,0.8732
mn0000081083,68.0,37.0,208.0,0.09904153354632587,Bill Monroe,0.9983
mn0000041874,233.0,278.0,1574.0,-0.02158273381294964,The Beach Boys,0.9734
mn0000586694,4.0,10.0,1118.0,-0.00530035335689046,Suede,0.8489
mn0000899530,139.0,152.0,3228.0,-0.003694231315714692,The Smiths,0.7618
mn0000465944,4.0,3.0,72.0,0.012658227848101266,Rev. C.L. Franklin,0.5763
mn0000135943,9.0,2.0,46.0,0.12280701754385964,The Dixie Hummingbirds,0.9008
mn0000814657,48.0,13.0,82.0,0.24475524475524477,Mahalia Jackson,0.9999
mn0000759031,14.0,11.0,2924.0,0.001017293997965412,Aztec Camera,0.6718
